method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,20,0.2,0.9,0.05,2.1072103131565254,50,50,1.0,-0.22187539227131542,-0.21031716329365205,62.82,36.28,61.82,48.151253607847195,44.52325360784718,3.628,0.9234276835045003,0.014501552943757712,0.04554571523870227
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,40,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,1.093340707246824,0.9734527715447473,98.2,1.2,97.8,62.844222669713055,62.72422266971305,0.12000000000000002,0.9979963327061055,0.006862838101190814,0.04343347762396584
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,40,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,1.0707303285245613,0.9867769601064932,97.0,2.0,96.6,63.209179418148075,63.009179418148065,0.2,0.9965656388513935,0.006737272755415949,0.04431115527728482
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,sphere,40,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,1.074255038882962,0.9506411777604669,97.6,2.4,97.2,63.72859703702862,63.488597037028626,0.24000000000000005,0.9961312747083643,0.005831707624320262,0.04302295251908784
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,10,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,867.9562346908082,647.932783439009,39.8,52.2,38.8,40.16130333046921,29.721303330469215,10.439999999999998,0.7319890014487879,0.05309527408889082,0.050285393730356544
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,10,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,852.4825774945924,647.9495545778309,39.8,52.2,38.8,40.16130333046921,29.721303330469215,10.439999999999998,0.7319890014487879,0.05309527408889082,0.050285393730356544
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,10,0.2,0.9,0.1,1.0536051565782627,50,5,0.1,860.8785716149989,648.1197172070083,39.8,52.0,38.8,40.195748988007075,29.795748988007073,10.399999999999997,0.7329965102393586,0.05309527408889082,0.050285393730356544
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,20,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,33884.13598601609,30530.823435937382,49.8,34.8,48.8,46.38167053858817,39.421670538588174,6.959999999999999,0.85061741327725,0.03784243637544109,0.052197599375759796
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,20,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,33884.12606310328,30530.82588653783,49.8,34.8,48.8,46.38167053858817,39.421670538588174,6.959999999999999,0.85061741327725,0.03784243637544109,0.052197599375759796
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,20,0.2,0.9,0.1,1.0536051565782627,50,5,0.1,33808.98778755195,30499.729357085314,49.8,34.8,48.8,46.38167053858817,39.421670538588174,6.959999999999999,0.85061741327725,0.03784243637544109,0.052197599375759796
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,40,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,311854.3458527761,274015.0729121774,65.6,19.4,64.6,53.95309307291079,50.073093072910794,3.8800000000000012,0.9281889059874351,0.02714704193069393,0.04872665069135771
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,40,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,311854.35088190297,274015.08555720776,65.6,19.4,64.6,53.95309307291079,50.073093072910794,3.8800000000000012,0.9281889059874351,0.02714704193069393,0.04872665069135771
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,ellipsoid_cond1e6,40,0.2,0.9,0.1,1.0536051565782627,50,5,0.1,311854.33363690635,274015.0587408269,65.6,19.4,64.6,53.95309307291079,50.073093072910794,3.8800000000000012,0.9281889059874351,0.02714704193069393,0.04872665069135771
